URL FOR CHECKING,Company,Descriptions,3 Yrs Growth,Industry,State,City,Year Founded,Website
https://www.inc.com/profile/liberty1-financial?listid=495,Liberty1 Financial,A progressive unsecured consumer lender educating clients about debt and how to manage their unsecured debts like credit cards.Profile,"9,180%",Financial Services,CA,Irvine,,
https://www.inc.com/profile/auxilior-capital-partners?listid=495,Auxilior Capital Partners,"A fast-growing, independent commercial finance company offering bespoke programs designed to increase sales and market share for their partners.Profile","8,917%",Financial Services,PA,Plymouth Meeting,,
https://www.inc.com/profile/uwill?listid=495,Uwill,A student and therapist matching platform offering immediate appointments with licensed counselors based on student preferences.Profile,"8,722%",Health Services,MA,Natick,,
https://www.inc.com/profile/clutch?listid=495,Clutch,Connects B2B service providers to a broader marketplace of business leaders and allows users to read and write reviews.Profile,"8,123%",Advertising & Marketing,DC,Washington DC,,
https://www.inc.com/profile/gordian-staffing?listid=495,Gordian Staffing,Staffing agency providing top-tier talent from the global talent pool to small and midsize companies.Profile,"8,120%",Human Resources,NE,Omaha,,
https://www.inc.com/profile/superfan-live?listid=495,Superfan Live,A boutique events and entertainment management firm innovating in the VIP event space and elevating the fan experience.Profile,"7,906%",Travel & Hospitality,FL,Clearwater,,
https://www.inc.com/profile/forest-media-group?listid=495,Forest Media Group,"A boutique agency specializing in digital marketing on Amazon, CTV/OTT and media buying.Profile","7,660%",Advertising & Marketing,NY,New York,,
https://www.inc.com/profile/segment-hr?listid=495,Segment HR,Providing comprehensive HR solutions to federal customers.Profile,"7,353%",Government Services,TX,The Woodlands,,
https://www.inc.com/profile/edm-lead-network?listid=495,EDM Leads,Premier advertising service offering advanced PPC and CPL campaigns for acquiring new customers on demand.Profile,"7,322%",Advertising & Marketing,AZ,Gilbert,,
https://www.inc.com/profile/chaberton-energy?listid=495,Chaberton Energy,Public benefit corporation in D.C. focusing on developing sustainable infrastructure and renewable energy project.Profile,"7,297%",Energy,MD,Rockville,,
https://www.inc.com/profile/why-unified?listid=495,Why Unified,"A drop-shipping platform serving people around the globe, featuring 2-day shipping and branded products.Profile","7,191%",Business Products & Services,DE,Newark,,
https://inc.com/magazine/202309/ali-donaldson/zap-mortgage-how-this-50-year-old-ceo-went-viral-on-tiktok-and-won-mortgage-customers.html,Zap Mortgage,Forward-thinking mortgage company specializing in helping veterans and first-time buyers purchase homes.Profile,"7,183%",Financial Services,FL,Sarasota,,
https://www.inc.com/profile/kin-insurance?listid=495,Kin Insurance,"Direct-to-consumer insurtech company insuring high-risk homes, simplifying home insurance by eliminating agent-related expenses.Profile","7,050%",Insurance,IL,Chicago,,
https://www.inc.com/profile/maev?listid=495,Maev,For more than doubling employee growth and revenue for human-grade raw pet food.Profile,"6,743%",Consumer Products,TX,Austin,,
https://www.inc.com/profile/debtbook?listid=495,DebtBook,Cloud-based software solutions addressing unique operating challenges and regulatory requirements of the public finance industry.Profile,"6,722%",Software,NC,Charlotte,,
https://www.inc.com/profile/gamefam?listid=495,Gamefam,The leading metaverse media company for Gen Z and Alpha communities.Profile,"6,390%",Media,CA,Los Angeles,,
https://www.inc.com/profile/snappt?listid=495,Snappt,AI fraud detection solution making it easy to trust whether to take a financial risk.Profile,"6,323%",Artificial Intelligence,CA,Ojai,,
https://www.inc.com/profile/gotu-technology?listid=495,GoTu Technology,"Staffing app allowing dental offices to contract with registered dental hygienists and assistants to fill single-day, short-term or permanent positions.Profile","6,282%",Human Resources,FL,Miami,,
https://www.inc.com/profile/go-ventures?listid=495,Team GO Ventures,"Offering retail sales, digital marketing and strategy for some of the hottest products and brands.Profile","6,271%",Advertising & Marketing,AR,Bentonville,,
https://www.inc.com/profile/amara?listid=495,Amara,"Food company producing healthy and convenient food, ranging from baby food to toddler snacks and beyond.Profile","6,248%",Food & Beverage,CA,San Francisco,,
https://www.inc.com/profile/fly-usa?listid=495,FlyUSA,Providing a more cost-effective alternative to the private jet charters and private flights.Profile,"6,218%",Travel & Hospitality,FL,Clearwater,,
https://www.inc.com/profile/archer-review?listid=495,Archer Review,"Test-preparation resources and live webinars for physicians, nurse practitioners, and medical and nursing students.Profile","5,771%",Health Services,TX,DALLAS,,
https://www.inc.com/profile/i80-group?listid=495,i80 Group,An investment firm providing bespoke financing solutions to their partners' unique needs.Profile,"5,708%",Financial Services,NY,New York,,
https://www.inc.com/profile/cleanfiber?listid=495,CleanFiber,A growth-stage cleantech manufacturer producing high-performance building insulation from 100% recycled cardboard.Profile,"5,684%",Manufacturing,NY,Blasdell,,
https://www.inc.com/profile/del-toro-loan-servicing?listid=495,PL360°,"Manages the funding process for brokers, lenders, borrowers, and entrepreneurs.Profile","5,566%",Financial Services,CA,Chula Vista,,
https://www.inc.com/profile/panda-exteriors?listid=495,Panda Exteriors,Restoration company specializing in roof solutions for residential and commercial buildings.Profile,"5,504%",Construction,MD,Laurel,,
https://www.inc.com/profile/dryeye-rescue?listid=495,Dryeye Rescue,E-commerce platforms providing patients and eye doctors a one-stop shop to order dry eye products.Profile,"5,468%",Advertising & Marketing,FL,Boca Raton,,
https://www.inc.com/profile/citylight-homes?listid=495,CityLight Homes,A full-service real estate agency that provides residential and commercial sales and acquisition services.Profile,"5,226%",Real Estate,MA,Peabody,,
https://www.inc.com/profile/blu-omega?listid=495,Blu Omega,A woman-owned small business and IT services firm providing support for federal and commercial programs.Profile,"5,218%",IT Services,VA,ASHBURN,,
https://www.inc.com/profile/the-luxe-room?listid=495,The Luxe Room,"Medical spa and aesthetic clinic specializing in injectable treatments that deliver stunning, natural results.Profile","5,017%",Consumer Services,CO,Denver,,
https://www.inc.com/profile/like-air?listid=495,Like Air,A company with a mission to improve better-for-you snacking without compromising flavor.Profile,"5,002%",Food & Beverage,NJ,Madison,,
https://inc.com/magazine/202112/diana-ransom/sharebite-food-ordering-restaurants-covid-community.html,Sharebite,"A meal benefits platform built exclusively for companies to engage and feed employees, regardless of where they work.Profile","4,914%",Business Products & Services,NY,New York,,
https://www.inc.com/profile/transparent-dental-group?listid=495,Transparent Dental Group,Redefining the group practice model by focusing on employee and patient satisfaction instead of numbers.Profile,"4,890%",Health Services,IL,Oak Brook Terrace,,
https://www.inc.com/profile/Mainfactor?listid=495,Mainfactor,Working with world-renowned clients to create cutting-edge products and D2C shopping experiences.Profile,"4,862%",Software,PA,Philadelphia,,
https://www.inc.com/profile/ProxyPics?listid=495,ProxyPics,"Technology allowing 100,000+ nationwide data collectors to provide real-time, location-specific photos and comprehensive site data.Profile","4,794%",Software,IL,Chicago,,
https://www.inc.com/profile/brightside-windows?listid=495,Brightside Windows,Offering custom-made and ultra-efficient products at affordable prices by generating leads to door to door.Profile,"4,749%",Construction,OR,Portland,,
https://www.inc.com/profile/bucket-list-events?listid=495,Bucket List Events,"Providing once-in-a-lifetime global experiences including the Masters, Kentucky Derby, Oktoberfest, Running of the Bulls, Macy's Parade, World Cup and Olympics.Profile","4,736%",Travel & Hospitality,TX,The Hills,,
https://www.inc.com/profile/Spot-Pet-Insurance-Services?listid=495,Spot Pet Insurance,A pet insurance provider helping pay for covered veterinary bills and educating pet owners about the benefits of pet insurance.Profile,"4,700%",Insurance,FL,Miami,,
https://www.inc.com/profile/priority-plus-financial?listid=495,PRIORITY PLUS FINANCIAL,"A wide range of fixed-interest loans, including term loans, lines of credit and debt consolidation.Profile","4,680%",Financial Services,CA,COSTA MESA,,
https://inc.com/reeves-wiedeman/meet-tom-brady-backed-production-company-forging-its-own-path-amid-streamer-wars.html,Religion of Sports,"Media company creating video, podcasts, films and social content to relay stories about the spirituality, science and humanity of sports.Profile","4,673%",Media,CA,Los Angeles,,
https://www.inc.com/profile/empower?listid=495,Empower Finance,Credit company with the aim of giving everyone equal opportunity to improve their financial security.Profile,"4,596%",Financial Services,CA,San Francisco,,
https://www.inc.com/profile/crave-retail?listid=495,Crave Retail,"Platform revolutionizing retail with AI and RFID technology, merging digital elegance into physical shopping spaces.Profile","4,368%",Software,TX,Austin,,
https://www.inc.com/profile/postpilot?listid=495,PostPilot,"Specializes in creating and sending personalized, automated direct mail and handwritten notes.Profile","4,281%",Consumer Products,SC,Spartanburg,,
https://www.inc.com/profile/fusion-power?listid=495,Fusion Power,"Arizona-based installer of consumer solar power systems offering design, permitting, utility coordination, installation and service for homeowners.Profile","4,251%",Energy,AZ,Chandler,,
https://www.inc.com/profile/slumber-stay?listid=495,Slumber Stay,Distinguished hospitality and accommodations company operating in vibrant cities across the U.S.Profile,"4,234%",Travel & Hospitality,IL,Chicago,,
https://www.inc.com/profile/isabel-rafferty-zavala?listid=495,Canela Media,Leading minority-owned company offering brands a complete ecosystem to connect with multicultural audiences.Profile,"4,163%",Advertising & Marketing,NY,New York,,
https://inc.com/tim-crino/how-i-helped-world-governments-corporate-america-from-going-offline.html,HeroDevs,A consulting company solving front-end challenges including migrations and upgrades and offering long-term support for open source software.Profile,"4,105%",Business Products & Services,UT,Sandy,,
https://www.inc.com/profile/statpearls?listid=495,StatPearls,"Education company offering peer-reviewed content for continuing education, board and certification reviews for medical specialties.Profile","4,031%",Education,FL,St Petersburg,,
https://www.inc.com/profile/earp-aviation-repairs?listid=495,Earp Aviation Repairs,FAA- and EASA-certified wheel and brake repair station servicing all types of aircraft.Profile,"4,004%",Logistics & Transportation,AZ,Chandler,,
https://www.inc.com/profile/rosa-li?listid=495,wildwonder Brands,"For growing a probiotic beverage brand 400 percent year-over-year and expanding into 3,000 retail stores.Profile","3,986%",Food & Beverage,CA,South San Francisco,,
https://inc.com/magazine/202309/eric-hagerman/how-mikkelsen-twins-built-a-50-million-a-year-business-around-one-product.html,Publishing.com,An online education company helping people earn income with their own online book publishing business.Profile,"3,907%",Business Products & Services,TX,Austin,,
https://www.inc.com/profile/hyqoo?listid=495,Hyqoo,Innovative talent cloud platform connecting companies with vetted global remote talent in tech roles.Profile,"3,864%",Human Resources,NJ,New Jersey,,
https://www.inc.com/profile/novo?listid=495,Novo,"A fintech platform for small businesses, combining a checking account and ecosystem for financial applications.Profile","3,843%",Financial Services,FL,Miami,,
https://www.inc.com/profile/fortreum?listid=495,Fortreum,Cybersecurity and cloud assessment services providing regulatory and technical testing for public and private sectors.Profile,"3,831%",IT Services,VA,Lansdowne,,
https://www.inc.com/profile/skydeo?listid=495,Skydeo,A marketing company helping data-driven advertisers reach their next customers with targeted audiences.Profile,"3,819%",Advertising & Marketing,TX,Austin,,
https://www.inc.com/profile/wildfire-systems?listid=495,Wildfire Systems,Fintech platform that enables clients to embed advanced e-commerce retail options into their existing services.Profile,"3,780%",Software,CA,Solana Beach,,
https://www.inc.com/profile/mintleadsio?listid=495,MintLeads.io,Engineer-led B2B growth firm specializing in top-of-funnel lead generation for various industries and target markets.Profile,"3,768%",Advertising & Marketing,GA,Atlanta,,
https://www.inc.com/profile/caryhealth?listid=495,CaryHealth,"Direct-to-consumer digital pharmacy experience and a platform serving pharmaceutical manufacturers, health plans and health systems.Profile","3,752%",Artificial Intelligence,DC,Washington,,
https://www.inc.com/profile/staffdna?listid=495,StaffDNA,"Digital staffing company serving health care professionals, covering more than 6,000 hospitals, long-term care and skilled nursing facilities nationwide.Profile","3,729%",Human Resources,TX,Plano,,
https://www.inc.com/profile/ehawk-solutions?listid=495,eHawk Solutions,Software reducing incarceration and improving outcomes in criminal justice while saving taxpayer funds.Profile,"3,727%",Government Services,MO,Lees Summit,,
https://www.inc.com/profile/dow-janes?listid=495,Dow Janes,"Leading female-focused personal finance firm enabling women to command significant wealth, power and influence.Profile","3,710%",Education,WA,Vancouver,,
https://www.inc.com/profile/viva-finance?listid=495,Viva Finance,Lending platform providing overlooked consumers credit based on metrics outside of solely their FICO score.Profile,"3,697%",Financial Services,GA,Atlanta,,
https://www.inc.com/profile/nectar?listid=495,Nectar,"User-friendly, customizable and impactful software enabling companies to acknowledge and reward employee contributions effectively.Profile","3,666%",Software,UT,Orem,,
https://www.inc.com/profile/umortgage?listid=495,UMortgage,National mortgage platform committed to creating life-changing opportunities through homeownership.Profile,"3,636%",Financial Services,PA,Philadelphia,,
https://www.inc.com/profile/dhanani-private-equity-group?listid=495,Dhanani Private Equity Group,"Private equity and real estate development company focusing on over $1 billion of projects with internal database of 1,500-plus investors.Profile","3,617%",Real Estate,TX,Stafford,,
https://www.inc.com/profile/spartan-fitness-holdings?listid=495,Spartan Fitness Holdings,Multi-brand wellness and fitness platform and the largest franchise owner in the Club Pilates system.Profile,"3,616%",Health Services,TN,Brentwood,,
https://www.inc.com/profile/april-koh?listid=495,Spring Health,"For expanding access to personalized health care plans for eight million users and reducing claims costs by $2,000 per patient per year.Profile","3,557%",Health Services,NY,New York City,,
https://www.inc.com/profile/drury-design?listid=495,Drury Design,Design and build firm catering to luxury clients by specializing in kitchens and bathrooms.Profile,"3,532%",Construction,IL,Glen Ellyn,,
https://www.inc.com/profile/giant-sports-cards?listid=495,Giant Sports Cards,Sports card shop delivering a game-changing experience and offering hot cards at low prices.Profile,"3,529%",Retail,GA,Alpharetta,,
https://www.inc.com/profile/sanguine-strategic-advisors?listid=495,Sanguine Strategic Advisors,Consulting firm helping small businesses succeed by leveraging its expertise in business development and operations.Profile,"3,491%",Business Products & Services,IL,Chicago,,
https://www.inc.com/profile/1uphealth?listid=495,1upHealth,Most sophisticated FHIR-enabled health data platform for clinical data integration and API data connectivity.Profile,"3,435%",Health Products,MA,Boston,,
https://www.inc.com/profile/hiring-4-less?listid=495,Hiring4Less,"Staffing agency providing top-tier talent at an unbeatable rate to over 1,000 satisfied clients globally.Profile","3,371%",Human Resources,NY,Monsey,,
https://www.inc.com/profile/sodella-construction?listid=495,SoDella Construction,"Specializes in large-scale residential new construction projects for owners and developers, including residential and commercial general contracting.Profile","3,326%",Construction,AZ,Scottsdale,,
https://www.inc.com/profile/built-by-grid?listid=495,Built By Grid,Dallas-based trusted source for fitness lockers and sports flooring in the U.S.Profile,"3,298%",Manufacturing,TX,Dallas,,
https://www.inc.com/profile/servos?listid=495,Servos,Technology consulting company focused on driving digital transformation of both private and public sector organizations.Profile,"3,249%",IT Services,VA,Richmond,,
https://www.inc.com/profile/beach-boss-influencers?listid=495,Beach Boss Influencers,Social media and online marketing coaching for network marketers and home business owners.Profile,"3,231%",Advertising & Marketing,IN,Newburgh,,
https://www.inc.com/profile/upstack?listid=495,UPSTACK,"IT services and consulting firm transforming the way digital infrastructure is designed, sourced and sold.Profile","3,190%",IT Services,NY,New York,,
https://www.inc.com/profile/wbe-technologies?listid=495,WBE Technologies,"Providing services and product solutions for the broadband, wireless, hyperscale, data center and enterprise markets.Profile","3,187%",Telecommunications,WA,Renton,,
https://www.inc.com/profile/ultracare-services?listid=495,UltraCare Services,Non-medical in-home care agency for seniors and disabled veterans with the goal of enabling patients to stay in their homes.Profile,"3,109%",Health Services,CA,Beverly Hills,,
https://www.inc.com/profile/connectm-technology-solutions?listid=495,ConnectM Technology Solutions,A vertically integrated clean energy technology and solutions provider for residential and light commercial buildings.Profile,"3,078%",Energy,MA,Marlborough,,
https://www.inc.com/profile/truebooks?listid=495,TrueBooks,Firm with dependable customer service and smart tax strategies for small businesses and real estate.Profile,"3,065%",Financial Services,NV,Henderson,,
https://www.inc.com/profile/transfr?listid=495,Transfr,"Provider of hands-on, immersive-simulation training for in-demand careers such as manufacturing, health care, aviation, construction and other skilled trades.Profile","3,055%",Education,NY,New York,,
https://www.inc.com/profile/realtycom?listid=495,Realty.com,National real estate portal transforming agent-client connections with a city-level exclusivity model.Profile,"3,052%",Real Estate,TX,Houston,,
https://www.inc.com/profile/titanium-tours?listid=495,Titanium Tours,Award-winning destination management company creating luxury customized itineraries for North American travelers.Profile,"3,018%",Travel & Hospitality,NJ,Bedminster,,
https://inc.com/strawberry-saroyan/how-a-sustainably-minded-serial-entrepreneur-built-a-planet-positive-underwear-brand.html,BRANWYN,"First and only ethically sourced, naturally sustainable performance innerwear made by and for active women.Profile","3,009%",Consumer Products,OR,BEND,,
https://www.inc.com/profile/apex-coatings?listid=495,Apex Coatings,Construction management firm offering construction services to the CRE industry and leveraging lean operational techniques.Profile,"2,999%",Construction,UT,Murray,,
https://www.inc.com/profile/refloor?listid=495,Refloor,Fastest-growing American flooring company specializing in fast and easy lifetime floors.Profile,"2,983%",Consumer Products,MI,Troy,,
https://www.inc.com/profile/c-r-wannamaker-law?listid=495,C. R. Wannamaker Law,An immigration law firm utilizing innovative and aggressive legal strategies to help immigrants gain legal status in the United States.Profile,"2,966%",Legal,TX,El Paso,,
https://www.inc.com/profile/arkos-health?listid=495,Arkos Health,"Strategic partner empowering payers to transform provider networks and offering convenient, high-quality, value-based care.Profile","2,950%",Health Services,AZ,Gilbert,,
https://www.inc.com/profile/workbetternow?listid=495,WorkBetterNow,Providing incredible full-time and dedicated remote talent from Latin America for SMBs in North America.Profile,"2,936%",Business Products & Services,NY,New York,,
https://inc.com/eric-hagerman/how-this-veterans-military-career-prepared-her-to-build-a-lean-business.html,LJV Development,A construction management firm that prioritizes collaboration and integrating tech-enabled processes to build more efficiently.Profile,"2,904%",Construction,MA,Boston,,
https://www.inc.com/profile/resident?listid=495,Resident Ventures,"Culinary event creator presenting spectacular events in penthouses, members' only clubs and chef demonstration kitchens.Profile","2,895%",Travel & Hospitality,NY,New York,,
https://www.inc.com/profile/xil-health?listid=495,XIL Health,Strategic analytics and technology company that helps retail pharmacies make strategic decisions with real-time metrics.Profile,"2,874%",Health Services,FL,Estero,,
https://www.inc.com/profile/onerorx?listid=495,OneroRx,"Leading regional provider of pharmacy and telepharmacy services, pharmaceutical products, supplements and medical suppliesProfile","2,862%",Health Services,IA,West Des Moines,,
https://www.inc.com/profile/cynet-systems?listid=495,Cynet Health,"A health care staffing firm providing health IT staffing and consulting services to hospitals, clinics, labs and pharmacies.Profile","2,848%",Human Resources,VA,Sterling,,
https://www.inc.com/profile/threatlocker?listid=495,ThreatLocker®,Global cybersecurity leader providing enterprise-level zero-trust cybersecurity tools to improve server and endpoint security.Profile,"2,845%",Security,FL,Orlando,,
https://www.inc.com/profile/awestruck?listid=495,Awestruck,"Providing innovative destination marketing solutions for clients in the worlds of tourism, hospitality and entertainment.Profile","2,811%",Advertising & Marketing,PA,Bethlehem,,
https://www.inc.com/profile/cornbread-cbd?listid=495,Cornbread Hemp,"Vertically integrated company manufacturing USDA organic, full-spectrum hemp cannabinoid products made with organic hemp flower.Profile","2,797%",Consumer Products,KY,Louisville,,
https://www.inc.com/profile/national-consulting-partners?listid=495,National Consulting Partners,"Small business with expertise in business processes, enterprise architecture, data and IT systems within the VA.Profile","2,797%",Government Services,VA,Woodbridge,,
https://www.inc.com/profile/i-55-book-fairs?listid=495,I 55 Book Fairs,"Christian business providing family-friendly book fair fundraisers to schools, churches and organizations across the U.S.Profile","2,797%",Retail,TX,Bryan,,
https://www.inc.com/profile/Nutriient?listid=495,Nutriient,"Supplement manufacturer for health and wellness brands, providing R & D, blending, bulk powder filling, stick pack and encapsulation services.Profile","2,753%",Manufacturing,UT,Lindon,,
https://www.inc.com/profile/summit-medical-staffing?listid=495,Summit Medical Staffing,A veteran-owned medical staffing agency that serves acute care facilities throughout the U.S.Profile,"2,746%",Human Resources,NE,Fremont,,
https://www.inc.com/profile/trudiagnostic?listid=495,TruDiagnostic,Leading health data company and laboratory specializing in epigenetic testing and research.Profile,"2,707%",Health Services,KY,Lexngton,,
https://www.inc.com/profile/patientfi?listid=495,PatientFi,Patient financing company making out-of-pocket health care expenses more accessible to more patients.Profile,"2,682%",Financial Services,CA,Irvine,,
https://www.inc.com/profile/sandbox-vr?listid=495,Sandbox VR,The future of entertainment combining movie-quality motion capture technology with virtual reality.Profile,"2,675%",Arts & Entertainment,CA,Pleasanton,,
https://www.inc.com/profile/valor-paytech?listid=495,Valor Paytech,"Payment industry leader providing secure, reliable and user-friendly payment solutions to businesses of all sizes.Profile","2,652%",Financial Services,NY,Jericho,,
https://www.inc.com/profile/isolutions-payments?listid=495,iSolutions Payments,Customized software solutions to automate payments and collections for a business's ERP or CRM.Profile,"2,648%",Software,IN,Zionsville,,
https://www.inc.com/profile/already-autism-health?listid=495,Already Autism Health,"Nurturing the already remarkable abilities of children with autism and providing comprehensive, compassionate, integrated care.Profile","2,607%",Health Services,NC,Charlotte,,
https://www.inc.com/profile/Life-Changing-Energy?listid=495,Life Changing Energy,Offering accredited certification and education for sound and energy healers across various modalities.Profile,"2,591%",Education,MI,Brighton,,
https://www.inc.com/profile/anova-digital?listid=495,ANOVA Digital,Management company focusing on lead generation and performance optimization in the marketing and professional services industries.Profile,"2,579%",Advertising & Marketing,TX,Richardson,,
https://www.inc.com/profile/KeSTA-I-T?listid=495,KESTA IT,"Specializing in IT staff augmentation, recruiting, human capital management and software engineering services.Profile","2,524%",Human Resources,UT,Salt Lake Cty,,
https://www.inc.com/profile/omega-foundation-services?listid=495,Omega Foundation Services,"Heavy, civil and industrial construction company finding solutions for clients that best achieve their goals.Profile","2,520%",Construction,LA,Slaughter,,
https://www.inc.com/profile/sparkplug-applications?listid=495,SparkPlug Applications,"Sales incentive platform that lets brick and mortar retailers and restaurants motivate frontline sellers with gamified commissions, contests and goals.Profile","2,479%",Software,CA,San Francisco,,
https://www.inc.com/profile/black-canyon-consulting?listid=495,Black Canyon Consulting,"Woman-owned small business providing innovative, tactical, and strategic program and IT management support services.Profile","2,479%",IT Services,VA,Fairfax,,
https://www.inc.com/profile/closinglock?listid=495,Closinglock,"Secure, easy-to-use platform modernizing the way of transferring information and funds to eliminate wire fraud.Profile","2,475%",Software,TX,Austin,,
https://www.inc.com/profile/boulder-care?listid=495,Boulder Care,"Telehealth addiction treatment grounded in kindness, respect and unconditional support.Profile","2,461%",Health Services,OR,Portland,,
https://www.inc.com/profile/vouched?listid=495,Vouched,Identity verification connecting businesses with good humans by using AI and proprietary technology.Profile,"2,443%",Software,WA,Seattle,,
https://www.inc.com/profile/365labs?listid=495,365 Labs,Software company reducing response time for first responders and removing redundancy in case processing.Profile,"2,442%",Software,LA,Baton Rouge,,
https://www.inc.com/profile/lucid-bots?listid=495,Lucid Bots,"Engineering, designing and manufacturing intelligent robots that solve the problem of performing labor-intensive tasks.Profile","2,434%",Manufacturing,NC,Charlotte,,
https://inc.com/christine-lagorio/how-this-entrepreneur-launched-a-cool-baby-brand-despite-having-no-kids.html,Coterie,"Engineers diapering solutions to make parents' lives easier while using cleaner, sustainable ingredients for a gentle and effective diapering experience.Profile","2,413%",Consumer Products,NY,NEW YORK,,
https://www.inc.com/profile/klarivis?listid=495,KlariVis,Software enabling banks to accelerate growth by leveraging data locked in its siloed banking systems.Profile,"2,395%",Software,VA,Roanoke,,
https://www.inc.com/profile/prospect-events?listid=495,Prospect Events,"Event services firm providing creative direction, meticulous planning and seamlessly executed production.Profile","2,390%",Business Products & Services,NY,White Plains,,
https://www.inc.com/profile/the-plug-drink?listid=495,The Plug Drink,"All-natural, clinically backed plant-based recovery brand focused on optimizing liver health and wellness with two product lines.Profile","2,380%",Food & Beverage,CA,Los Angeles,,
